12-08 16: 46: 52: Training starting...
Episode 0: Total Mean reward = -2.0, Mean Reward last 50 = -2.0, Epsilon = 1, best_rewards = -2.0
Episode 8550: Total Mean reward = 12.09636299847971, Mean Reward last 50 = 16.04, Epsilon = 0.01, best_rewards = 26.0
Episode 8600: Total Mean reward = 12.11545169166376, Mean Reward last 50 = 15.38, Epsilon = 0.01, best_rewards = 26.0
Episode 8650: Total Mean reward = 12.138018726158826, Mean Reward last 50 = 16.02, Epsilon = 0.01, best_rewards = 26.0
Episode 8700: Total Mean reward = 12.159177106079762, Mean Reward last 50 = 15.82, Epsilon = 0.01, best_rewards = 26.0
Episode 8750: Total Mean reward = 12.172780253685293, Mean Reward last 50 = 14.54, Epsilon = 0.01, best_rewards = 26.0
Episode 8800: Total Mean reward = 12.197704806272014, Mean Reward last 50 = 16.56, Epsilon = 0.01, best_rewards = 26.0
Episode 8850: Total Mean reward = 12.222121794147554, Mean Reward last 50 = 16.52, Epsilon = 0.01, best_rewards = 26.0
Episode 8900: Total Mean reward = 12.249410178631614, Mean Reward last 50 = 17.08, Epsilon = 0.01, best_rewards = 26.0
Episode 8950: Total Mean reward = 12.272148363311361, Mean Reward last 50 = 16.32, Epsilon = 0.01, best_rewards = 26.0
Episode 9000: Total Mean reward = 12.285968225752693, Mean Reward last 50 = 14.76, Epsilon = 0.01, best_rewards = 26.0
Episode 9050: Total Mean reward = 12.299303944315545, Mean Reward last 50 = 14.7, Epsilon = 0.01, best_rewards = 26.0
Episode 9100: Total Mean reward = 12.32172288759477, Mean Reward last 50 = 16.38, Epsilon = 0.01, best_rewards = 26.0
Episode 9150: Total Mean reward = 12.33941645721779, Mean Reward last 50 = 15.56, Epsilon = 0.01, best_rewards = 26.0
Episode 9200: Total Mean reward = 12.354200630366265, Mean Reward last 50 = 15.06, Epsilon = 0.01, best_rewards = 26.0
Episode 9250: Total Mean reward = 12.38049940546968, Mean Reward last 50 = 17.22, Epsilon = 0.01, best_rewards = 26.0
Episode 9300: Total Mean reward = 12.398236748736695, Mean Reward last 50 = 15.68, Epsilon = 0.01, best_rewards = 26.0
Episode 9350: Total Mean reward = 12.415249705913807, Mean Reward last 50 = 15.58, Epsilon = 0.01, best_rewards = 26.0
Episode 9400: Total Mean reward = 12.434847356664184, Mean Reward last 50 = 16.1, Epsilon = 0.01, best_rewards = 26.0
Episode 9450: Total Mean reward = 12.455084118082743, Mean Reward last 50 = 16.26, Epsilon = 0.01, best_rewards = 26.0
Episode 9500: Total Mean reward = 12.472160825176298, Mean Reward last 50 = 15.7, Epsilon = 0.01, best_rewards = 26.0
Episode 9550: Total Mean reward = 12.489058737304994, Mean Reward last 50 = 15.7, Epsilon = 0.01, best_rewards = 26.0
Episode 9600: Total Mean reward = 12.505988959483387, Mean Reward last 50 = 15.74, Epsilon = 0.01, best_rewards = 26.0
Episode 9650: Total Mean reward = 12.523676302973785, Mean Reward last 50 = 15.92, Epsilon = 0.01, best_rewards = 26.0
Episode 9700: Total Mean reward = 12.5385011854448, Mean Reward last 50 = 15.4, Epsilon = 0.01, best_rewards = 26.0
Episode 9750: Total Mean reward = 12.548354014972823, Mean Reward last 50 = 14.46, Epsilon = 0.01, best_rewards = 26.0
Episode 9800: Total Mean reward = 12.56177941026426, Mean Reward last 50 = 15.18, Epsilon = 0.01, best_rewards = 26.0
Episode 9850: Total Mean reward = 12.58034717287585, Mean Reward last 50 = 16.22, Epsilon = 0.01, best_rewards = 26.0
Episode 9900: Total Mean reward = 12.598828401171598, Mean Reward last 50 = 16.24, Epsilon = 0.01, best_rewards = 26.0
Episode 9950: Total Mean reward = 12.607476635514018, Mean Reward last 50 = 14.32, Epsilon = 0.01, best_rewards = 26.0
Episode 10000: Total Mean reward = 12.61003899610039, Mean Reward last 50 = 13.12, Epsilon = 0.01, best_rewards = 26.0
Episode 10050: Total Mean reward = 12.584319968162372, Mean Reward last 50 = 7.44, Epsilon = 0.01, best_rewards = 26.0
Episode 10100: Total Mean reward = 12.559251559251559, Mean Reward last 50 = 7.52, Epsilon = 0.01, best_rewards = 26.0
Episode 10150: Total Mean reward = 12.582307161855974, Mean Reward last 50 = 17.24, Epsilon = 0.01, best_rewards = 26.0
